rank,discipline,yrs.since.phd,yrs.service,sex,salary
1,B,19,18,0,139750
1,B,20,16,0,173200
1,B,45,39,0,115000
1,B,40,41,0,141500
1,B,30,23,0,175000
1,B,45,45,0,147765
1,B,21,20,0,119250
1,B,18,18,1,129000
1,B,20,18,0,104800
1,B,12,3,0,117150
1,B,19,20,0,101000
1,A,38,34,0,103450
1,A,37,23,0,124750
1,A,39,36,1,137000
1,A,31,26,0,89565
1,A,36,31,0,102580
1,A,34,30,0,93904
1,A,24,19,0,113068
1,A,21,8,0,106294
1,A,35,23,0,134885
1,B,12,8,0,118223
1,B,20,4,0,132261
1,B,13,9,0,117256
1,B,22,21,0,155750
1,B,41,31,0,125196
1,B,23,2,0,146500
1,B,40,27,0,101299
1,B,38,38,0,231545
1,B,19,19,0,94384
1,B,25,15,0,114778
1,B,40,28,0,98193
1,B,23,19,1,151768
1,B,25,25,1,140096
3,B,4,3,0,79750
3,B,7,2,0,79800
3,B,1,1,0,77700
3,B,2,0,0,78000
3,B,5,3,0,82379
3,B,11,0,0,77000
3,B,7,2,0,79916
3,B,4,2,0,80225
3,B,4,2,1,80225
3,B,5,0,1,77000
3,B,7,4,0,86373
3,B,1,1,0,70768
3,B,11,3,1,74692
3,B,8,3,0,75044
3,B,3,2,0,75243
3,B,4,3,0,68404
3,B,8,3,0,73266
3,B,3,1,0,86100
3,B,6,2,0,84240
3,B,6,2,0,88825
3,B,2,2,0,88400
3,B,10,5,1,97032
3,B,4,0,0,84000
3,A,3,1,0,72500
3,A,4,1,0,72500
3,A,5,3,1,73500
3,A,2,0,1,72500
3,A,4,2,0,73000
3,A,3,1,1,72500
3,B,3,3,0,89942
3,B,4,4,0,92000
3,B,4,3,0,95079
3,B,4,4,0,92000
3,B,4,0,0,92000
3,B,1,0,0,88000
3,B,2,2,0,89516
2,B,6,6,0,97000
2,A,13,8,1,74830
2,B,23,23,0,93418
2,B,14,5,0,83900
2,B,9,8,0,90215
2,B,9,8,0,90304
2,B,17,12,0,95611
2,A,18,10,0,83850
2,A,11,8,0,82099
2,A,10,8,0,82600
2,A,15,8,0,81500
2,A,19,16,0,82100
2,A,25,22,1,62884
2,A,11,9,0,83001
2,A,10,8,1,77500
2,A,10,7,0,73877
2,A,15,10,0,81500
2,B,6,6,0,95408
2,B,22,7,0,98510
2,B,10,7,0,95436
2,B,19,19,0,86250
2,B,48,53,0,90000
2,A,9,7,0,70000
2,A,26,24,1,73300
2,A,12,8,0,83000
2,A,30,23,0,74000
2,A,41,33,0,88600
2,A,8,6,0,88650
2,A,49,49,0,81800
2,A,45,39,0,70700
2,B,12,9,1,71065
2,B,9,9,0,95642
2,B,10,10,0,99247
2,A,20,17,0,81285
2,A,13,8,0,78182
2,A,8,5,0,86895
1,B,25,25,0,172272
1,B,38,38,0,166024
1,B,21,20,0,123683
1,B,13,7,0,129676
1,B,30,14,0,102235
1,B,41,26,0,106689
1,B,42,25,0,133217
1,B,28,23,0,126933
1,B,16,5,0,153303
1,B,20,14,1,127512
1,A,31,28,0,113543
1,A,40,31,0,131205
1,A,20,16,0,112429
1,A,37,37,0,104279
1,A,12,0,1,105000
1,A,21,9,0,120806
1,A,30,29,0,148500
1,A,39,36,0,117515
1,A,14,14,0,115313
1,A,32,32,0,124309
1,A,24,22,0,97262
1,A,24,22,0,96614
1,A,54,49,0,78162
1,A,28,26,0,155500
1,A,32,30,0,113278
1,A,56,57,0,76840
1,A,35,25,0,168635
1,A,20,18,0,136000
1,A,16,14,0,108262
1,A,17,14,0,105668
1,A,21,18,0,152664
1,A,19,11,0,106608
1,B,27,27,0,112696
1,B,28,28,0,119015
1,B,27,27,0,156938
1,B,36,26,1,144651
1,B,14,12,0,128148
1,B,21,9,0,111168
1,B,21,21,0,118971
1,B,15,16,0,137167
1,B,26,19,0,176500
1,B,21,8,0,105890
1,B,16,16,0,167284
1,B,18,19,0,130664
1,B,25,18,0,181257
1,B,19,19,0,151575
1,B,37,24,0,93164
1,B,20,20,0,134185
1,B,28,25,0,111751
1,B,27,14,0,147349
1,B,11,11,0,142467
1,B,18,5,0,141136
1,B,26,22,0,150000
1,B,23,23,0,101000
1,B,33,30,0,134000
1,B,18,10,0,107500
1,B,25,19,0,153750
1,B,22,9,0,180000
1,B,43,22,0,133700
1,B,19,18,0,122100
1,B,34,33,0,189409
1,B,38,22,0,114500
1,B,40,40,0,119700
1,B,28,17,0,160400
1,B,17,17,0,152500
1,B,19,5,0,165000
1,B,35,33,0,162200
1,B,18,18,0,120000
1,B,20,20,0,163200
1,B,39,39,0,111350
1,B,15,7,0,128400
1,B,26,19,0,126200
1,B,16,11,0,145350
1,B,15,11,0,146000
1,B,13,11,0,119500
1,B,21,21,0,170000
1,B,23,10,0,145200
1,B,34,20,0,129600
1,A,20,20,0,122400
3,B,10,5,1,97032
3,B,4,0,0,84000
3,A,3,1,0,72500
3,A,4,1,0,72500
3,A,5,3,1,73500
3,A,2,0,1,72500
3,A,4,2,0,73000
3,A,3,1,1,72500
3,B,3,3,0,89942
2,B,10,7,0,95436
2,B,13,9,0,100944
2,B,8,8,0,100000
2,B,13,10,1,103750
2,B,28,28,0,106300
2,B,9,7,0,113600
2,B,11,1,0,118700
